sample_id,class,sigma,seed,E,eta,E_nir,parasitic_frac,fill_achieved,radius_scale,n_redraws,n_restarts
93,jitter,0.0400,21270726,2.603328,0.365347,5.517532,0.045216,0.384845,1.000000,0,0
94,jitter,0.0400,21270727,2.594013,0.364040,5.450402,0.044607,0.384845,1.000000,0,0
95,jitter,0.0400,21270728,2.591313,0.363661,5.373988,0.044186,0.384845,1.000000,0,0
96,jitter,0.0400,21270729,2.591241,0.363651,5.443703,0.045256,0.384845,1.000000,0,0
97,jitter,0.0400,21270730,2.581825,0.362329,5.384794,0.043819,0.384845,1.000000,0,0
98,jitter,0.0400,21270731,2.597277,0.364498,5.466838,0.044780,0.384845,1.000000,0,0
99,jitter,0.0400,21270732,2.600726,0.364982,5.484012,0.044957,0.384845,1.000000,0,0
100,jitter,0.0400,21270733,2.582803,0.362466,5.395697,0.043869,0.384845,1.000000,0,0
101,jitter,0.0400,21270734,2.597490,0.364528,5.482917,0.045423,0.384845,1.000000,0,0
102,jitter,0.0400,21270735,2.596530,0.364393,5.445022,0.044656,0.384845,1.000000,0,0
103,jitter,0.0400,21270736,2.592224,0.363788,5.445365,0.044868,0.384845,1.000000,0,0
104,jitter,0.0400,21270737,2.584357,0.362684,5.389977,0.044236,0.384845,1.000000,0,0
105,jitter,0.0400,21270738,2.589172,0.363360,5.414261,0.044627,0.384845,1.000000,0,0
106,jitter,0.0400,21270739,2.583173,0.362518,5.419824,0.044729,0.384845,1.000000,0,0
107,jitter,0.0400,21270740,2.594451,0.364101,5.467450,0.045347,0.384845,1.000000,0,0
108,jitter,0.0400,21270741,2.587396,0.363111,5.409957,0.044512,0.384845,1.000000,0,0
109,jitter,0.0400,21270742,2.594480,0.364105,5.452490,0.044935,0.384845,1.000000,0,0
110,jitter,0.0400,21270743,2.593753,0.364003,5.485394,0.045297,0.384845,1.000000,0,0
111,jitter,0.0400,21270744,2.582122,0.362371,5.375232,0.044506,0.384845,1.000000,0,0
112,jitter,0.0400,21270745,2.574846,0.361350,5.343839,0.043741,0.384845,1.000000,0,0
113,jitter,0.0400,21270746,2.584168,0.362658,5.353830,0.044253,0.384845,1.000000,0,0
114,jitter,0.0400,21270747,2.582500,0.362424,5.407217,0.044346,0.384845,1.000000,0,0
115,jitter,0.0400,21270748,2.592282,0.363797,5.379267,0.044513,0.384845,1.000000,0,0
116,jitter,0.0400,21270749,2.597091,0.364472,5.458103,0.044831,0.384845,1.000000,0,0
117,jitter,0.0400,21270750,2.586348,0.362964,5.489451,0.045439,0.384845,1.000000,0,0
118,jitter,0.0400,21270751,2.597788,0.364569,5.546067,0.045756,0.384845,1.000000,0,0
119,jitter,0.0400,21270752,2.596382,0.364372,5.498576,0.045298,0.384845,1.000000,0,0
120,jitter,0.0400,21270753,2.577033,0.361657,5.373947,0.044235,0.384845,1.000000,0,0
121,jitter,0.0400,21270754,2.595610,0.364264,5.439459,0.045226,0.384845,1.000000,0,0
122,jitter,0.0400,21270755,2.592596,0.363841,5.460963,0.045280,0.384845,1.000000,0,0
123,jitter,0.0400,21270756,2.585158,0.362797,5.378840,0.044035,0.384845,1.000000,0,0
124,jitter,0.0400,21270757,2.583795,0.362606,5.407276,0.044362,0.384845,1.000000,0,0
125,jitter,0.0400,21270758,2.583290,0.362535,5.432593,0.044429,0.384845,1.000000,0,0
126,jitter,0.0400,21270759,2.596468,0.364384,5.412506,0.044284,0.384845,1.000000,0,0
127,jitter,0.0400,21270760,2.599740,0.364843,5.472480,0.044904,0.384845,1.000000,0,0
128,jitter,0.0400,21270761,2.593124,0.363915,5.459418,0.045227,0.384845,1.000000,0,0
130,jitter,0.0400,21270763,2.583248,0.362529,5.412058,0.044318,0.384845,1.000000,0,0
131,jitter,0.0400,21270764,2.589482,0.363404,5.475432,0.044713,0.384845,1.000000,0,0
132,jitter,0.0400,21270765,2.595487,0.364246,5.480320,0.045249,0.384845,1.000000,0,0
133,jitter,0.0400,21270766,2.584288,0.362675,5.407756,0.043969,0.384845,1.000000,0,0
134,jitter,0.0400,21270767,2.596197,0.364346,5.434644,0.045315,0.384845,1.000000,0,0
135,jitter,0.0400,21270768,2.591489,0.363685,5.388502,0.043934,0.384845,1.000000,0,0
136,jitter,0.0400,21270769,2.588236,0.363229,5.470640,0.045069,0.384845,1.000000,0,0
137,jitter,0.0400,21270770,2.593449,0.363960,5.464644,0.044849,0.384845,1.000000,0,0
138,jitter,0.0400,21270771,2.599549,0.364817,5.500243,0.045116,0.384845,1.000000,0,0
139,jitter,0.0400,21270772,2.605581,0.365663,5.526199,0.045171,0.384845,1.000000,0,0
140,jitter,0.0400,21270773,2.596512,0.364390,5.492846,0.045371,0.384845,1.000000,0,0
141,jitter,0.0400,21270774,2.588835,0.363313,5.471490,0.044833,0.384845,1.000000,0,0
142,jitter,0.0400,21270775,2.593669,0.363991,5.476839,0.044755,0.384845,1.000000,0,0
143,jitter,0.0400,21270776,2.593713,0.363997,5.466110,0.044503,0.384845,1.000000,0,0
144,jitter,0.0400,21270777,2.591772,0.363725,5.447037,0.044858,0.384845,1.000000,0,0
145,jitter,0.0400,21270778,2.588796,0.363307,5.442786,0.044612,0.384845,1.000000,0,0
146,jitter,0.0400,21270779,2.588138,0.363215,5.381151,0.044224,0.384845,1.000000,0,0
147,jitter,0.0400,21270780,2.605550,0.365659,5.488502,0.045441,0.384845,1.000000,0,0
148,jitter,0.0400,21270781,2.581452,0.362277,5.443615,0.044789,0.384845,1.000000,0,0
149,jitter,0.0400,21270782,2.572102,0.360965,5.371623,0.044476,0.384845,1.000000,0,0
150,jitter,0.0400,21270783,2.590801,0.363589,5.414400,0.044470,0.384845,1.000000,0,0
151,jitter,0.0600,21280709,2.610123,0.366300,5.622576,0.046573,0.384845,1.000000,0,0
152,jitter,0.0600,21280710,2.607269,0.365900,5.621640,0.046818,0.384845,1.000000,0,0
153,jitter,0.0600,21280711,2.618229,0.367438,5.668850,0.047983,0.384845,1.000000,0,0
154,jitter,0.0600,21280712,2.642179,0.370799,5.776967,0.048084,0.384845,1.000000,0,0
155,jitter,0.0600,21280713,2.627647,0.368760,5.702568,0.048189,0.384845,1.000000,0,0
156,jitter,0.0600,21280714,2.621558,0.367905,5.759926,0.048416,0.384845,1.000000,0,0
157,jitter,0.0600,21280715,2.622497,0.368037,5.723657,0.048586,0.384845,1.000000,0,0
158,jitter,0.0600,21280716,2.612921,0.366693,5.640975,0.047699,0.384845,1.000000,0,0
159,jitter,0.0600,21280717,2.619905,0.367673,5.713348,0.048288,0.384845,1.000000,0,0
160,jitter,0.0600,21280718,2.612458,0.366628,5.643962,0.047867,0.384845,1.000000,0,0
161,jitter,0.0600,21280719,2.624300,0.368290,5.736105,0.048073,0.384845,1.000000,0,0
162,jitter,0.0600,21280720,2.621370,0.367879,5.680804,0.047279,0.384845,1.000000,0,0
163,jitter,0.0600,21280721,2.618196,0.367433,5.602482,0.046664,0.384845,1.000000,0,0
164,jitter,0.0600,21280722,2.619880,0.367670,5.677526,0.047560,0.384845,1.000000,0,0
165,jitter,0.0600,21280723,2.593756,0.364004,5.561237,0.046445,0.384845,1.000000,0,0
166,jitter,0.0600,21280724,2.614051,0.366852,5.674254,0.047832,0.384845,1.000000,0,0
167,jitter,0.0600,21280725,2.619686,0.367642,5.646190,0.047412,0.384845,1.000000,0,0
168,jitter,0.0600,21280726,2.616306,0.367168,5.678606,0.047904,0.384845,1.000000,0,0
169,jitter,0.0600,21280727,2.620290,0.367727,5.697679,0.047953,0.384845,1.000000,0,0
170,jitter,0.0600,21280728,2.618216,0.367436,5.650734,0.047090,0.384845,1.000000,0,0
171,jitter,0.0600,21280729,2.612952,0.366697,5.682605,0.047930,0.384845,1.000000,0,0
172,jitter,0.0600,21280730,2.619304,0.367589,5.670367,0.047689,0.384845,1.000000,0,0
173,jitter,0.0600,21280731,2.626688,0.368625,5.716737,0.047971,0.384845,1.000000,0,0
174,jitter,0.0600,21280732,2.628086,0.368821,5.728179,0.048800,0.384845,1.000000,0,0
175,jitter,0.0600,21280733,2.620422,0.367746,5.659475,0.047100,0.384845,1.000000,0,0
176,jitter,0.0600,21280734,2.615640,0.367075,5.669363,0.047696,0.384845,1.000000,0,0
177,jitter,0.0600,21280735,2.610583,0.366365,5.671668,0.047621,0.384845,1.000000,0,0
178,jitter,0.0600,21280736,2.623425,0.368167,5.733951,0.048462,0.384845,1.000000,0,0
179,jitter,0.0600,21280737,2.604019,0.365444,5.632763,0.046978,0.384845,1.000000,0,0
180,jitter,0.0600,21280738,2.623698,0.368205,5.751125,0.048028,0.384845,1.000000,0,0
181,jitter,0.0600,21280739,2.622187,0.367993,5.665493,0.047582,0.384845,1.000000,0,0
182,jitter,0.0600,21280740,2.611600,0.366508,5.685262,0.048084,0.384845,1.000000,0,0
183,jitter,0.0600,21280741,2.622974,0.368104,5.716941,0.048912,0.384845,1.000000,0,0
184,jitter,0.0600,21280742,2.619479,0.367613,5.691492,0.047956,0.384845,1.000000,0,0
185,jitter,0.0600,21280743,2.604968,0.365577,5.635795,0.047122,0.384845,1.000000,0,0
186,jitter,0.0600,21280744,2.609736,0.366246,5.598557,0.047379,0.384845,1.000000,0,0
187,jitter,0.0600,21280745,2.617763,0.367373,5.700299,0.048171,0.384845,1.000000,0,0
188,jitter,0.0600,21280746,2.602193,0.365187,5.560138,0.047034,0.384845,1.000000,0,0
189,jitter,0.0600,21280747,2.612786,0.366674,5.618777,0.047079,0.384845,1.000000,0,0
190,jitter,0.0600,21280748,2.617682,0.367361,5.714777,0.047539,0.384845,1.000000,0,0
191,jitter,0.0600,21280749,2.607160,0.365885,5.621959,0.047586,0.384845,1.000000,0,0
192,jitter,0.0600,21280750,2.608421,0.366062,5.629303,0.047320,0.384845,1.000000,0,0
193,jitter,0.0600,21280751,2.623697,0.368205,5.693991,0.047503,0.384845,1.000000,0,0
194,jitter,0.0600,21280752,2.618287,0.367446,5.690242,0.048273,0.384845,1.000000,0,0
195,jitter,0.0600,21280753,2.624735,0.368351,5.687800,0.047550,0.384845,1.000000,0,0
196,jitter,0.0600,21280754,2.595444,0.364240,5.550872,0.047143,0.384845,1.000000,0,0
197,jitter,0.0600,21280755,2.620317,0.367731,5.691190,0.047897,0.384845,1.000000,0,0
198,jitter,0.0600,21280756,2.622314,0.368011,5.667862,0.047267,0.384845,1.000000,0,0
199,jitter,0.0600,21280757,2.610276,0.366322,5.627264,0.046954,0.384845,1.000000,0,0
200,jitter,0.0600,21280758,2.607305,0.365905,5.641269,0.047359,0.384845,1.000000,0,0
201,jitter,0.0600,21280759,2.619916,0.367675,5.707132,0.048041,0.384845,1.000000,0,0
202,jitter,0.0600,21280760,2.613100,0.366718,5.633818,0.046548,0.384845,1.000000,0,0
203,jitter,0.0600,21280761,2.614509,0.366916,5.675357,0.047788,0.384845,1.000000,0,0
204,jitter,0.0600,21280762,2.618119,0.367423,5.681182,0.047010,0.384845,1.000000,0,0
205,jitter,0.0600,21280763,2.612840,0.366682,5.626641,0.047312,0.384845,1.000000,0,0
206,jitter,0.0600,21280764,2.622221,0.367998,5.688066,0.047824,0.384845,1.000000,0,0
207,jitter,0.0600,21280765,2.608170,0.366026,5.580092,0.046647,0.384845,1.000000,0,0
208,jitter,0.0600,21280766,2.634377,0.369704,5.735134,0.048224,0.384845,1.000000,0,0
209,jitter,0.0600,21280767,2.618413,0.367464,5.659718,0.047098,0.384845,1.000000,0,0
210,jitter,0.0600,21280768,2.623997,0.368247,5.678711,0.047572,0.384845,1.000000,0,0
211,jitter,0.0600,21280769,2.613659,0.366797,5.608848,0.046755,0.384845,1.000000,0,0
212,jitter,0.0600,21280770,2.625590,0.368471,5.714534,0.047759,0.384845,1.000000,0,0
213,jitter,0.0600,21280771,2.623708,0.368207,5.715335,0.047451,0.384845,1.000000,0,0
214,jitter,0.0600,21280772,2.615336,0.367032,5.613140,0.047052,0.384845,1.000000,0,0
215,jitter,0.0600,21280773,2.631435,0.369291,5.746661,0.048322,0.384845,1.000000,0,0
216,jitter,0.0600,21280774,2.624137,0.368267,5.726950,0.048889,0.384845,1.000000,0,0
217,jitter,0.0600,21280775,2.607649,0.365953,5.640276,0.047507,0.384845,1.000000,0,0
218,jitter,0.0600,21280776,2.613227,0.366736,5.675336,0.047653,0.384845,1.000000,0,0
219,jitter,0.0600,21280777,2.606720,0.365823,5.677134,0.048026,0.384845,1.000000,0,0
220,jitter,0.0600,21280778,2.607428,0.365922,5.610296,0.047540,0.384845,1.000000,0,0
221,jitter,0.0600,21280779,2.607125,0.365880,5.627397,0.046814,0.384845,1.000000,0,0
222,jitter,0.0600,21280780,2.620121,0.367703,5.690438,0.047735,0.384845,1.000000,0,0
223,jitter,0.0600,21280781,2.595846,0.364297,5.570659,0.046403,0.384845,1.000000,0,0
224,jitter,0.0600,21280782,2.623504,0.368178,5.666565,0.047642,0.384845,1.000000,0,0
225,jitter,0.0600,21280783,2.615956,0.367119,5.601855,0.046733,0.384845,1.000000,0,0
226,jitter,0.0800,21290709,2.624821,0.368363,5.793205,0.049968,0.384845,1.000000,0,0
227,jitter,0.0800,21290710,2.623134,0.368126,5.802353,0.050423,0.384845,1.000000,0,0
228,jitter,0.0800,21290711,2.624714,0.368348,5.780567,0.049041,0.384845,1.000000,0,0
229,jitter,0.0800,21290712,2.617458,0.367330,5.761346,0.049630,0.384845,1.000000,0,0
230,jitter,0.0800,21290713,2.613890,0.366829,5.753738,0.050061,0.384845,1.000000,0,0
231,jitter,0.0800,21290714,2.629789,0.369060,5.737916,0.049374,0.384845,1.000000,0,0
232,jitter,0.0800,21290715,2.625417,0.368447,5.869826,0.050403,0.384845,1.000000,0,0
233,jitter,0.0800,21290716,2.613701,0.366803,5.727196,0.048646,0.384845,1.000000,0,0
234,jitter,0.0800,21290717,2.619115,0.367562,5.741273,0.049802,0.384845,1.000000,0,0
235,jitter,0.0800,21290718,2.627972,0.368805,5.786929,0.049015,0.384845,1.000000,0,0
236,jitter,0.0800,21290719,2.629321,0.368995,5.800635,0.050186,0.384845,1.000000,0,0
237,jitter,0.0800,21290720,2.638347,0.370261,5.848592,0.050724,0.384845,1.000000,0,0
238,jitter,0.0800,21290721,2.624985,0.368386,5.787620,0.050121,0.384845,1.000000,0,0
239,jitter,0.0800,21290722,2.613478,0.366771,5.754821,0.049663,0.384845,1.000000,0,0
240,jitter,0.0800,21290723,2.626990,0.368668,5.828265,0.049945,0.384845,1.000000,0,0
241,jitter,0.0800,21290724,2.611821,0.366539,5.718920,0.049024,0.384845,1.000000,0,0
242,jitter,0.0800,21290725,2.630144,0.369110,5.775767,0.050393,0.384845,1.000000,0,0
243,jitter,0.0800,21290726,2.625024,0.368392,5.700426,0.049439,0.384845,1.000000,0,0
244,jitter,0.0800,21290727,2.621677,0.367922,5.760265,0.049032,0.384845,1.000000,0,0
245,jitter,0.0800,21290728,2.623002,0.368108,5.751734,0.049130,0.384845,1.000000,0,0
246,jitter,0.0800,21290729,2.615053,0.366992,5.752078,0.049856,0.384845,1.000000,0,0
247,jitter,0.0800,21290730,2.629465,0.369015,5.812633,0.049752,0.384845,1.000000,0,0
248,jitter,0.0800,21290731,2.626047,0.368535,5.784600,0.049093,0.384845,1.000000,0,0
249,jitter,0.0800,21290732,2.621024,0.367830,5.794774,0.049913,0.384845,1.000000,0,0
250,jitter,0.0800,21290733,2.640253,0.370529,5.876163,0.050168,0.384845,1.000000,0,0
251,jitter,0.0800,21290734,2.629932,0.369080,5.811886,0.049582,0.384845,1.000000,0,0
252,jitter,0.0800,21290735,2.625497,0.368458,5.742126,0.048508,0.384845,1.000000,0,0
253,jitter,0.0800,21290736,2.625124,0.368406,5.774236,0.049264,0.384845,1.000000,0,0
254,jitter,0.0800,21290737,2.622777,0.368076,5.786171,0.050082,0.384845,1.000000,0,0
255,jitter,0.0800,21290738,2.625751,0.368494,5.768128,0.049287,0.384845,1.000000,0,0
256,jitter,0.0800,21290739,2.615103,0.366999,5.763887,0.049013,0.384845,1.000000,0,0
257,jitter,0.0800,21290740,2.620107,0.367702,5.750670,0.049459,0.384845,1.000000,0,0
258,jitter,0.0800,21290741,2.625668,0.368482,5.761079,0.048871,0.384845,1.000000,0,0
259,jitter,0.0800,21290742,2.627978,0.368806,5.786067,0.050067,0.384845,1.000000,0,0
260,jitter,0.0800,21290743,2.626972,0.368665,5.784008,0.049943,0.384845,1.000000,0,0
261,jitter,0.0800,21290744,2.624886,0.368372,5.801788,0.049768,0.384845,1.000000,0,0
262,jitter,0.0800,21290745,2.630287,0.369130,5.865418,0.050165,0.384845,1.000000,0,0
263,jitter,0.0800,21290746,2.644905,0.371182,5.873243,0.050435,0.384845,1.000000,0,0
264,jitter,0.0800,21290747,2.620047,0.367693,5.780148,0.048901,0.384845,1.000000,0,0
265,jitter,0.0800,21290748,2.622583,0.368049,5.765265,0.048934,0.384845,1.000000,0,0
266,jitter,0.0800,21290749,2.624401,0.368304,5.764254,0.049251,0.384845,1.000000,0,0
267,jitter,0.0800,21290750,2.612205,0.366593,5.696860,0.048775,0.384845,1.000000,0,0
268,jitter,0.0800,21290751,2.632337,0.369418,5.800950,0.050009,0.384845,1.000000,0,0
269,jitter,0.0800,21290752,2.617107,0.367280,5.733898,0.049262,0.384845,1.000000,0,0
270,jitter,0.0800,21290753,2.618166,0.367429,5.733483,0.048956,0.384845,1.000000,0,0
271,jitter,0.0800,21290754,2.613165,0.366727,5.714899,0.048652,0.384845,1.000000,0,0
272,jitter,0.0800,21290755,2.606661,0.365815,5.707340,0.048938,0.384845,1.000000,0,0
273,jitter,0.0800,21290756,2.627781,0.368779,5.798410,0.049731,0.384845,1.000000,0,0
274,jitter,0.0800,21290757,2.622659,0.368060,5.704452,0.048994,0.384845,1.000000,0,0
275,jitter,0.0800,21290758,2.626900,0.368655,5.778893,0.049810,0.384845,1.000000,0,0
276,jitter,0.0800,21290759,2.622450,0.368030,5.787228,0.049578,0.384845,1.000000,0,0
277,jitter,0.0800,21290760,2.620373,0.367739,5.736477,0.048731,0.384845,1.000000,0,0
278,jitter,0.0800,21290761,2.629500,0.369020,5.835718,0.050273,0.384845,1.000000,0,0
279,jitter,0.0800,21290762,2.626365,0.368580,5.765631,0.048748,0.384845,1.000000,0,0
280,jitter,0.0800,21290763,2.628743,0.368913,5.771441,0.049674,0.384845,1.000000,0,0
281,jitter,0.0800,21290764,2.622972,0.368104,5.757026,0.049394,0.384845,1.000000,0,0
282,jitter,0.0800,21290765,2.613057,0.366712,5.739186,0.049207,0.384845,1.000000,0,0
283,jitter,0.0800,21290766,2.626387,0.368583,5.776877,0.049101,0.384845,1.000000,0,0
284,jitter,0.0800,21290767,2.630900,0.369216,5.759202,0.048902,0.384845,1.000000,0,0
285,jitter,0.0800,21290768,2.631256,0.369266,5.853072,0.049774,0.384845,1.000000,0,0
286,jitter,0.0800,21290769,2.627110,0.368684,5.768124,0.049527,0.384845,1.000000,0,0
287,jitter,0.0800,21290770,2.628775,0.368918,5.812748,0.050284,0.384845,1.000000,0,0
288,jitter,0.0800,21290771,2.613608,0.366789,5.730346,0.048954,0.384845,1.000000,0,0
289,jitter,0.0800,21290772,2.623141,0.368127,5.763836,0.050064,0.384845,1.000000,0,0
290,jitter,0.0800,21290773,2.629732,0.369052,5.840683,0.049860,0.384845,1.000000,0,0
291,jitter,0.0800,21290774,2.618725,0.367508,5.719287,0.049581,0.384845,1.000000,0,0
